impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,raw_24h,cont_24h,rev_24h,tail_cont,tail_rev,p_cont,p_rev,router_conf,router_side,selected_top20,selected_rev,bucket,is_fresh_aug,signal_id,aligned_ret30d,eff30d,rv30d,oriented_pos30d,aligned_ret60d,eff60d,rv60d,oriented_pos60d,aligned_ret90d,eff90d,rv90d,oriented_pos90d,rv30_90_ratio,accept_rate_10,accept_rate_20,mean_cont_10,mean_cont_20,same_dir_accept_rate_10,same_dir_mean_cont_10,accept_ewm20,accept_streak_signed,known_impulses_30d,filled,signal_net_R,gross_R,cost_R,outcome,fill_time,stop_frac,episode_3d,episode_7d,episode_14d,month,reversal_trade_side
1.0,1.5980422492329682,2.9700658884122317,-0.16436493427990956,-1.9449879983046288,1.4621848596811813,1.9013823412752104,0.033209496367439376,0.49999999999999994,0.8660254037844387,2024,2021-01-22 02:00:00+00:00,DEV_2021_2024,30068.29,30585.52,29781.2,30462.5,32609.96,0.07049519901518253,0.07049519901518253,-0.07049519901518253,1,0,0.33103226068994956,0.3458768216979167,0.3458768216979167,REV,True,True,2021,False,3,,,0.008130428530624645,0.0701888567293776,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,NO_FILL,,,1,1,1,2021-01,SELL
-1.0,-0.4072688730613747,-2.409900166862128,-2.0992503263870628,-1.7004122014533702,1.1635174896138538,0.06893059862305231,-0.03545270603314512,-0.13052619222005177,-0.9914448613738104,5037,2021-02-22 12:30:00+00:00,DEV_2021_2024,53647.3,53979.4,53534.05,53534.06,47684.37,-0.10927043456072627,0.10927043456072627,-0.10927043456072627,1,0,0.18301976230896236,0.34844099545540214,0.34844099545540214,REV,True,True,2021,False,14,-0.5312367455811323,0.048876918140445744,0.005612206791577999,0.11748894235459495,,,0.006774549051072507,0.11316721150919185,,,0.006774549051072507,0.11316721150919185,0.8284251467172575,0.3,0.35714285714285715,-0.009086007703367404,-0.006686697336588395,0.14285714285714285,-0.026496418004609223,-0.6784891254850555,-5.0,10.0,True,1.4401466430897045,1.5,0.05985335691029547,TP,2021-02-22 12:45:00+00:00,0.008353750329315185,2,2,2,2021-02,BUY
1.0,0.9209966603500361,2.7219069656574955,-0.00815171628328924,-2.0895034963985415,0.26732943991530783,0.6971774370632007,0.0006046222563460848,-0.9659258262890684,0.2588190451025203,5063,2021-02-22 19:00:00+00:00,DEV_2021_2024,53227.23,53579.37,52942.33,53517.68,47057.34,-0.12071429091950725,-0.12071429091950725,0.12071429091950725,0,1,0.22380200099049297,0.35029707149793404,0.35029707149793404,REV,True,True,2021,False,15,0.47930967336302566,0.04354367435386403,0.005707921876216707,0.7774957164076357,,,0.006813782978906811,0.7856803472874783,,,0.006813782978906811,0.7856803472874783,0.8377023298051202,0.3,0.35714285714285715,-0.009086007703367404,-0.006686697336588395,0.5714285714285714,0.013123023331432433,-0.6784891254850555,-5.0,10.0,True,-1.0422549604420444,-1.0,0.042254960442044395,SL,2021-02-22 20:00:00+00:00,0.011832930258822148,2,2,2,2021-02,SELL
-1.0,-1.437095219824221,-2.4209265779115015,-2.3828287053229134,-2.3662488392173726,0.9603095241792543,1.3413861679257093,-0.012722366870438604,0.6087614290087207,0.7933533402912352,5093,2021-02-23 02:30:00+00:00,DEV_2021_2024,51993.13,52300.0,51500.0,51573.92,50055.72,-0.02944225191752925,0.02944225191752925,-0.02944225191752925,1,0,0.21661618234833468,0.396353758637867,0.396353758637867,REV,True,True,2021,False,16,-0.5078049912846606,0.04576676273815155,0.005742584162916468,0.18522500711069478,,,0.006814847959963005,0.17841166271821296,,,0.006814847959963005,0.17841166271821296,0.8426577080888599,0.3,0.35714285714285715,-0.009086007703367404,-0.006686697336588395,0.14285714285714285,-0.026496418004609223,-0.6784891254850555,-5.0,10.0,True,1.4680163,1.5,0.031983700000000004,TP,2021-02-23 02:45:00+00:00,0.01563296304054878,2,2,2,2021-02,BUY
-1.0,-4.28066194023785,-2.4332336118788604,-3.378170330638474,-3.261767765144086,1.786006116802977,4.79384958526938,-0.01452484769578558,0.8660254037844387,-0.4999999999999998,5115,2021-02-23 08:00:00+00:00,DEV_2021_2024,49642.92,50027.01,48320.0,48424.18,50491.91,0.042398991869636804,-0.042398991869636804,0.042398991869636804,0,1,0.26406611889783393,0.40372629202636334,0.40372629202636334,REV,True,True,2021,False,17,-0.41450078906306204,0.03688558126915466,0.005818658309759964,0.29532672783009095,,,0.006840847251851866,0.28446338525881143,,,0.006840847251851866,0.28446338525881143,0.850575680985248,0.3,0.35714285714285715,-0.009086007703367404,-0.006686697336588395,0.14285714285714285,-0.026496418004609223,-0.6784891254850555,-5.0,10.0,True,-1.0139339180789801,-1.0,0.01393391807898019,SL,2021-02-23 08:15:00+00:00,0.035883661520464065,2,2,2,2021-02,BUY
-1.0,0.7238680548849589,-2.49592435134515,-1.8163528398325968,-2.9964413242013834,1.5098390313659853,1.4918972023351282,-0.010811371842690239,1.2246467991473532e-16,-1.0,5131,2021-02-23 12:00:00+00:00,DEV_2021_2024,46359.14,46818.47,46018.38,46576.69,50818.7,0.09107253542158178,-0.09107253542158178,0.09107253542158178,0,1,0.20876778788282715,0.3827090868068494,0.3827090868068494,REV,True,True,2021,False,18,-0.38406558516216543,0.033644566841533906,0.005928495743526234,0.35818217668324226,,,0.006884604067573873,0.34500674987095825,,,0.006884604067573873,0.34500674987095825,0.8611237022981671,0.3,0.35714285714285715,-0.009086007703367404,-0.006686697336588395,0.14285714285714285,-0.026496418004609223,-0.6784891254850555,-5.0,10.0,True,1.4711428433051283,1.5,0.02885715669487169,TP,2021-02-23 12:30:00+00:00,0.01732672436466538,2,2,2,2021-02,BUY
-1.0,-2.6148232930118733,-2.7028459506602776,-0.3345841158442429,-2.569035731892931,0.7844639383638082,2.68196482878316,0.03758785374430034,-0.9238795325112868,-0.3826834323650895,5149,2021-02-23 16:30:00+00:00,DEV_2021_2024,48194.59,48485.28,47300.0,47429.07,49577.25,0.04531583762422242,-0.04531583762422242,0.04531583762422242,0,1,0.1901167294605111,0.33312398255088405,0.33312398255088405,REV,True,True,2021,False,19,-0.4177173820846075,0.035817127737382506,0.00610632854355894,0.32301034520189564,,,0.006961130817233742,0.31112868430456475,,,0.006961130817233742,0.31112868430456475,0.8772035325699441,0.3,0.4,-0.00022119936975637522,0.0010437781232325823,0.25,-0.009525561433942287,-0.330549254502867,1.0,11.0,False,0.0,0.0,0.0,NO_FILL,,,2,2,2,2021-02,BUY
1.0,1.3445835277446345,2.8345788722641747,-0.24192998957480444,-2.7826754444363067,0.5509288489211841,1.073840128917164,0.037826139297689076,-0.7933533402912357,0.6087614290087199,5165,2021-02-23 20:30:00+00:00,DEV_2021_2024,46871.85,47479.97,46760.09,47269.48,48629.66,0.02889081282730932,0.02889081282730932,-0.02889081282730932,1,0,0.2705601942434961,0.36933592975369817,0.36933592975369817,REV,True,True,2021,False,20,0.36224430820225273,0.03074568626904782,0.006168913446766059,0.5642944198566319,,,0.00698283258202798,0.5803214791481928,,,0.00698283258202798,0.5803214791481928,0.8834399757260771,0.3,0.375,-0.011258588337474895,-0.006566101191938657,0.5,-0.0036066409499350277,-0.46831722729562514,-1.0,12.0,True,-1.0330814996943933,-1.0,0.0330814996943933,SL,2021-02-23 20:45:00+00:00,0.015114187827607487,2,2,2,2021-02,SELL
1.0,1.4321141270475415,3.309642059582226,0.9058267369304316,-1.532688641143578,0.6627228790407865,0.7156954285243006,0.04450267335355621,0.3214394653031616,0.9469301294951057,5184,2021-02-24 01:15:00+00:00,DEV_2021_2024,48723.21,49359.55,48717.38,49166.12,50832.65,0.033791400597383614,0.033791400597383614,-0.033791400597383614,1,0,0.294878027939946,0.34493052690017395,0.34493052690017395,REV,True,True,2021,False,21,0.38626122779551125,0.03254077014600238,0.006209197275655575,0.6174594003382903,,,0.006996480614746294,0.6315308310282302,,,0.006996480614746294,0.6315308310282302,0.8874743771273542,0.3,0.375,-0.011258588337474895,-0.006566101191938657,0.5,-0.0036066409499350277,-0.46831722729562514,-1.0,12.0,True,-1.0385312339411679,-1.0,0.0385312339411679,SL,2021-02-24 01:30:00+00:00,0.012976485538029587,2,2,2,2021-02,SELL
-1.0,-2.5181844514401845,-2.657964037751314,-2.213055579361085,-1.6342015412159059,0.7753518765574821,1.6851461315351886,0.03427987787026371,0.06540312923014306,0.9978589232386035,5372,2021-02-26 00:15:00+00:00,DEV_2021_2024,47494.54,47613.5,46713.44,46752.35,46720.95,-0.0006716239932325063,0.0006716239932325063,-0.0006716239932325063,0,0,0.21207474409693788,0.3639233791608365,0.3639233791608365,REV,True,True,2021,False,23,-0.40915216547275757,0.03394702733362324,0.006273425329778668,0.34651067566026417,,,0.006973849365519639,0.3337645750890057,,,0.006973849365519639,0.3337645750890057,0.8995642149651192,0.4,0.4,-0.017630887720980724,-0.007768421151088861,0.2,-0.018919750884698994,-0.204559617948212,-1.0,19.0,True,1.4742782036753104,1.5,0.025721796324689534,TP,2021-02-26 00:30:00+00:00,0.019438766783176256,2,2,2,2021-02,BUY
